"","documents","ViaMobiles"
"808","Good restaurant with good customer service, food nice but maybe a little overpriced for what you get","Not Mobile"
"809","Do not go here we had a terrible experience. We had a voucher which was bought for us as a wedding present and we decided to go to this restaurant around my husbands birthday. The deal we booked for was a 3 course Sunday roast...More","Not Mobile"
"810","Our second visit to this restaurant and just as good as the first time! Fabulous food and superb wine made even better by the super staff - attentive and nothing too much trouble. A real treat!","Not Mobile"
"811","Once again we decided to eat at the London Steakhouse before a theatre visit. Again exceptional food and service. Recommend every time","Not Mobile"
"812","Great service ! Great staff! Good Quality food! So good would highly recommend to everyone looking for a good meal","Not Mobile"
"813","Starters were good, beef Wellington was very tasty but my husbands steak was not pleasant, tough and grisly.  At the end the bill was wrong with an extra bottle of wine added on.","Not Mobile"
"814","As party of 4 adults we booked a table for 17.15 after visiting The Shard.We were given a choice from 4 cocktails with only a soft drink alternative and then waited an hour before our staters arrived which were ok.We waited a further...More","Not Mobile"
"815","Fabulous place well worth the visit. Great service. Waiter very good. Food was delicious.Would definitely go again next time in London","Mobile"
"816","The food was lovely the only thing that let the visit down was the state of the toilets, for such a venue with good food and service the toilets were a disgrace. Toilet seats hanging off and not very clean at all!!","Not Mobile"
"817","When we arrived we were made to feel welcome and it was not long before we were seated the staff were very attentive and the food was excellent would definitely recommend this restaurant and we are planning on going again","Not Mobile"
"818","Had to send our sunday roasts back as the arrived cold. Second lot arrived not much better and in the process I lost my side of horeradish.Pudding was also nothing to write home about.This was a sixtyth birthday present for my wife. A...More","Not Mobile"
"819","Had a fantastic meal with my daughter. The porterhouse steak was to die for and would highly recommend","Not Mobile"
"820","What a great place it’s the nicest Sunday roast out in a restaurant I have ever had the service is second to none with great friendly multi linguistic servers","Not Mobile"
"821","Food was excellent and the meal was great value for money. Service was very good. I would definitely recommend. Central location, near main railway stations and subways.","Not Mobile"
"822","The experience was amazing, friendly staff and very good food. Had a very nice experience. She felt so royal.","Not Mobile"
"823","Steak was dry and tough. Sent it back and on return it was much the same, over cooked and tasteless. The chicken liver pate starter was bland and the melba toast that came with it was rubbery and tasted stale. The prawns I had as...More","Not Mobile"
"824","Average!You think it’s going to be amazing but clearly they use Marco Pierre Whites name only it’s obviously a franchise. I’ve had better steaks at our local village restaurant! Nice evening but won’t bother again!!","Not Mobile"
"825","My husband and I visited for my birthday, we had the set menu. Let me keep it simple I would not bother, poor value, rubbish service and charging £12+ service charge for service which started great, However when the waiter ( Micheal)was challenged on the...More","Not Mobile"
"826","Too Expensive By Far.Staff were excellent, service good but should be at the prices charged.Quality of food was good and likewise the presentation.","Not Mobile"
"827","The food was good and nicely presented and our waiter was superb, however we were let down with maybe some would say is ‘nothing’. Firstly, when we arrived our coats were not taken even though there were two  assistants at the door . We had...More","Not Mobile"
"828","We arrived early, but were shown to our table without any query.  The service was first class, and the food was excellent.","Not Mobile"
"829","The restaurant was relaxing, friendly and professional. The staff were welcoming and polite. The food was excellent. Thank you Tomasz for a great evening.","Not Mobile"
"830","The ambiance was good and the staff very attentive without being intrusive. The food was well presented but we thought the added extras a little overpriced as were two glasses or a red wine at the price of a bottle. So check this out before...More","Not Mobile"
"831","Overbearing service. Poor choice of meal and drink. Alcohol measures very short.  No bread with soup. Salmon starter not available at 6pm. Sticky toffee pudding was dry. Lemon posset too sweet. Service charged on top of a Virgin Experience. Our Shard visit great, this restaurant...More","Not Mobile"
"832","After purchasing a package with a trip to the shard, the meal was a set menu, so I was under no illusion that this was going to be my greatest ever dining experience. Staff were friendly, helpful, attentive, we never had to wait long for...More","Not Mobile"
"833","Outstanding service, food and value for money.  The staff were very welcoming, polite and knowledgeable. The room was fashionably decorated with decent sized tables and smart tableware. Could do without the music. Highly recommended.","Not Mobile"
"834","Was very disappointed from the minute we sat down. Waiter rushed us to order, wine arrived after our starter No waiter poured our wine for us or at anytime asked if we were ok. We had a Virgin experience where we had to pay extra...More","Not Mobile"
"835","I bought this along with a view from the shard from groupon for my bf’s birthday. Food was good, although could do with more  vegetarian options, and service was ok. A great evening thanks","Not Mobile"
"836","Great restaurant located in an area of London best known for its long established Market that is Petticoat Lane.The restaurant is very pleasant and nicely decorated. The concierge was polite and informed us of the menu and specials. Our waiter was again very attentive...More","Not Mobile"
"837","We had a lovely meal in this well situated restaurant in Central London. The ambiance was delightful, the service attentive and yet not invasive and the food was delicious.","Not Mobile"
"838","Food wasn’t great. Very expensive Had to pay supplement charges on near enough everything. Took 20 minutes to get a drink. Won’t be coming again","Not Mobile"
"839","We visited the restaurant as gift experience which offered a 3 course meal and a cocktail each. Cons -  We were excited to try the steaks from an award winning butcher. Despite paying extra for a different cut of steak we found the tastiest part...More","Not Mobile"
"840","Had a voucher for a three course meal! Well 2 items from the 4 mains included were not available, only 4 options of starters and desserts. The additional charges on the actual steaks as only one included on the set menu was a bit ridiculous...More","Not Mobile"
"841","The free cocktail was so small, it was hardly worth drinking.  The starter was OK, the mains were nice enough and the deserts were alright, but nothing was worth writing home about.  We had a voucher, which with the few extras we added came to...More","Not Mobile"
"842","We went to the restaurant as we had a Virgin experience voucher for a 3 course meal and cocktail on arrival. Before we went I got an email confirming my booking and said I could upgrade to a VIP package for £55 which included a...More","Not Mobile"
"843","The drinks we order came very slowly and wasn’t even the drinks we had ordered. I order and gin and tonic because my main came I have finished my main and order dessert by the time my drink came and it was Gin and lemonade...More","Not Mobile"
"844","it feels like a pop up restaurant or canteen, they overcharge and overestimatedark, cold location people go there only with vouchers, so most probably they cannot attract clients otherwise. they are very upset if you do not order anything above the voucher value...total...More","Not Mobile"
"845","Food was great, service was average. Had to wait ages for our starter (waiter got our order wrong) and mains took long too. Nice settings, bit smaller than expected. Bought a deal on Wowcher which was misleading. Thought I was saving but actually it's like...More","Not Mobile"
"846","The location was nice but some of the dishes coming out could have been thought about more. In some cases the consistency and texTrue could be a little off putting.","Not Mobile"
"847","Excellent food, good service from waiting staff, although not a positive welcome when we arrived, very offish attitude. Nice atmosphere, toilets need an upgrade, tatty paintwork, broken toilet seat.  Could not fault the food, thoroughly enjoyed all courses.","Not Mobile"
"848","Recently visited this restaurant We had a lovely meal and the service was also very goodTasty cocktailsGood choice of items on the menuMy husband had a steak which he said was cooked perfectly and the accompanying sauce was delicious The side order...More","Not Mobile"
"849","The food we were served was absolutely delicious, however many items on the menu weren’t available during our visit. I’d purchased the meal as part of an experience package for my boyfriend and I and was expecting something far more luxury; instead we were dismissed...More","Not Mobile"
"850","Went for dinner last night. The food was amazing but the service was terrible and the ladies toilet was a disgrace. Made to wait 30 mins for our first drink (lost order 3 times.....it was 2 glasses of champagne!). Had to ask to order food...More","Mobile"
"851","There was a choice of five starters, but the one we chose (Salmon) was not available. Then my partner's first choice of main course (Beef Wellington) was also not available. This was at 3.30 in the afternoon, so disappointing that menu choices were limited. Other...More","Not Mobile"
"852","Very high prices for average food, have had much better steaks in other places for half the price. Not much flavour in the food, also felt rushed to pay and leave. Had the pate to start with, was not nice at all, so so bland,...More","Not Mobile"
"853","The first choice starters and main course were not available and the second choice of steak had a £12.50 supplement which with both having the same meant an extra £25 the coffees were extortionate and not only did they add vat to the overall bill...More","Not Mobile"
"854","Food was very basic, limited choice in starters, wanted smoked salmon platter you ran out, my carrot soup tasted like it had more cream than carrots, my partner had fillet stake was tough, mash potatoes was watery and awful purée spinanch, waiter said no vegetables...More","Not Mobile"
"855","We were given this as a gift experience from our Son - We had a three course Sunday Lunch, Which all courses were amazing - The staff were extremely attentive and friendly - My only slight concern would be the prices of the drinks (Though...More","Not Mobile"
"856","Incredible food, fantastic atmosphere and outstanding service! Thank you to all at the London Steakhouse for making our lunch such an enjoyable and memorable occasion.","Not Mobile"
"857","Once more a fabulous Sunday Lunch - well mannered tentative staff and excellent food and cocktails. We will certainly be going again - still waiting for the champagne Marco!!","Mobile"
"858","We was actually disappointed considering the amount spent for a 3 course meal £179 to be precise.  When we arrived the Matre de took ages to fin us a table we even ended up hanging up our own coats.  The restaurant looked very tired and...More","Not Mobile"
"859","Really fantastic meal, venue and service. Steak was to die for and the flavours were out of this world","Not Mobile"
"860","Wonderful service, great food, not that expensive for the area, enjoyable evening out.Looking at some negative comments i wonder if they think they are royalty?Lovely place and will visit again soon","Not Mobile"
"861","The staff were very friendly, helpful and gave us great service.The food was delicious and for a set menu the choice was very good!Would defiantly go again.","Mobile"
"862","The service was good- the waiter was nice but the food was really disappointing. The ladies toilets were gross. The fake orchids are covered in what looks like 10 years worth of dust and the paint on the doors is rubbed off. Generally just got...More","Not Mobile"
"863","Very professional staff, pleasant surroundings and good food but the service was very slow.From being shown to our table , it was an hour waiting for our starter.","Not Mobile"
"864","Really nice service, friendly staff, good food. Pecan pie was an absolute joy. Chips hmmm not so great, but nonetheless less.  Great place.","Not Mobile"
"865","After our visit to The Shard my husband and I had a very enjoyable meal at the London Steakhouse. We had booked our meal for 3pm but arrived at 2.30pm and as it was a cold day we asked if we could dine earlier they...More","Not Mobile"
"866","Excellent restaurant lovely food staff very pleasant and helpful . Have been hear three times now and will be going back lovely for special occasion as well as a treat .","Not Mobile"
"867","Took my mother here as a birthday treat , steak was the best I’d ever had ! The atmosphere and staff were so welcoming . Sometimes I feel uncomfortable in fancy places but not here . Thankyou for a memorable birthday !","Not Mobile"
"868","We had a voucher as gift. Service was super could not fault it. There was only one steak option included in menu if you wanted other steak option would cost additional £15. The steak I went for was tough I couldn't even cut it let...More","Not Mobile"
"869","Good atmosphere and very pleasant clientele all makes for a good evening, simple in every form and with quality steak normally the best formula. Enjoy","Mobile"
"870","Food was very average, I’ve had better at my local pub, Ordered onion rings as an extra and they were full so greasy I had to leave them. Two liquors I ordered from the menu they didn’t have. I’m not a wine drinker but If...More","Mobile"
"871","We booked this restaurant as a package with shard tickets. first we went to the shard and had cocktails then in the evening went here for a three course set meal which was lovely. The restaurant has a nice atmosphere and the staff are really...More","Not Mobile"
"872","We had a fabulous meal and the staff were lovely. Would recommend and have bought another voucher so we can go back again","Not Mobile"
"873","We went here for Valentines Day 2020. I wanted a cocktail and my husband wanted a non-alcohol drink and they served them the wrong way round. We paid extra for a Fillet Steak but what was delivered was certainly not fillet. There wasn’t the choice...More","Not Mobile"
"874","Pleasant restaurant amd excellent service, we had the set nenu and it was very good. So overall opinion great value with good service, what's not to like?","Not Mobile"
"875","We had a meal for two here. The service, starters, sides and desserts were fine, but the steak was poorly seasoned and quite tough to cut (despite being medium rare). Given that Hawksmoor is just a few minutes away, I can't see a reason to...More","Not Mobile"
"876","Had a really nice meal here for my husbands 60th Birthday as really good and will be going back, Cocktails to die for!!!","Not Mobile"
"877","This was a groupon present and I am sure looking around at what others were ordering we were two of manyFirst off there was great emphasis on what was included which I accept they have to do but then every time I ordered something...More","Not Mobile"
"878","Great food, great service all at a great price. Highly recommend this little hidden hem in the heart of Hatton.","Mobile"
"879","Was seated by the door, which kept opening every two minutes so we were freezing cold and there were no locks on any of the ladies loos but the woman who was supposedly in charge was oblivious to this, even though singing was heard to...More","Not Mobile"
"880","I was gifted a groupon voucher, if your gifted a voucher you use it right? I didn’t like how I was treated for using a voucher. It was ridiculous. Also what is with the posh ketchup it tasted terrible. The steak was very nice, the...More","Mobile"
"881","We were given a Virgin Experience gift for the Shard and then a 3 course meal at this restaurant. Seeing other reviews, we were a bit apprehensive whether this would be a good experience, but I have to say it was fine.  The staff were...More","Not Mobile"
"882","We both had beef and both of these was fairly tough . I struggled to eat mine and left half to it. The rest of the experience including the service was wonderful.","Not Mobile"
"883","Waitress was to in your face lent across you to fill water glasses to quick to get you to order starters were very bland steak didn’t come with any sides you had to order these separate although we wasn’t informed by the waitress cocktail and...More","Not Mobile"
"884","Tucked away in the back streets of London but just a 15-20 minute walk from London Bridge station, The London Steakhouse was a welcoming site.  Down some steps into the restaurant it was surprisingly large, though had a very warm and cosy feel to it....More","Not Mobile"
"885","We came to this restaurant as part of the Virgin Experience Day. After reading a lot of the reviews, our expectations were quite low. However, once we arrived we had really good service from start to finish. The waiting staff were really attentive. We were...More","Not Mobile"
"886","Booked in london for a three course meal and cocktail using red letter day voucher on arrival we were told we couldnt use it because I booked in advance?? If I booked 48hrs in advance i could use it. It didn't state anywhere on the...More","Not Mobile"
"887","We had the Experience menu bolstered by the VIP upgrade. The food was nicely cooked and well presented, the steaks a bit tough. Overall a pleasant meal in comfortable surroundings.","Not Mobile"
"888","We was on a Virgin experience. Did not know what to expect. Fantastic food and staff were great, defiantly will return.","Not Mobile"
"889","Beautiful setting, excellent service. All staff were amazing. Be careful on the set menu though....an 8oz steak does not come with any accompaniments so you need to pay extra for fries, salad etc.","Not Mobile"
"890","So angry. Just been to London steakhouse co. It was pretty awful. No ketchup No beef wellington 8oz meant to be medium rare but was well done10oz meant to be medium rare was rare but couldn’t eat it because so fatty.Waiter said nothing...More","Not Mobile"
"891","We went here for my birthday meal. We ordered cocktails which were too sweet to drink. Waited over an hour and had to ask again to get water for the table.We asked for an extra 5 minutes to order food, they finally came to...More","Mobile"
"892","We had been given an 'experience voucher' so this was cheaper than it should have been, but you can see why the prices are higher than a normal steak house - the steaks and the rest of the dishes were amazing - and the portions...More","Not Mobile"
"893","A dated old basement environment redeemed by the Ailey Express cartoons by JAK on the walls. The staff were welcoming and helpful but the food was very average. I was asked how I wanted my steak and I asked for rare....it arrived very overcooked and...More","Not Mobile"
"894","Went here for a meal as part of a groupon deal with the Shard. Lovely restaurant with really lovely staff . The starters were nice - quite large but tasty. My husband upgraded to a ribeye steak for his main and I had the risotto....More","Mobile"
"895","Whilst the service was excellent, surroundings pleasant, the food was poor, and the low lighting made it difficult to read the menu.","Not Mobile"
"896","We went for a meal on Friday evening, for. 3 course meal meal was of reasonable value. However the choices we made was disappointing. The brioche served with Liver Parfait tasted stale or was just an odd combination. We chose the standard rump steak which...More","Not Mobile"
"897","Got an experience through buyagift.com which was a big mistake, if you are expecting a full on 3 course meal you will be disappointed, we both chose the mackerel which was more of an appetizer than starter, the main was literally steak on a plate...More","Mobile"
"898","Went as a package with Shard visit booked as a christmas present.  It was a set menu with a few choices.  husband had pea soup, thats it on its own, no slice of bread. I had beetroot salad with goats chees,  very very thin slices...More","Not Mobile"
"899","We pre booked for the virgin shard and meal experience, the welcome was good, the restaurant very pleasant, however the steak had not been rested, as recommended we both had medium rare, yet both our plates were full of blood after we cut into the...More","Not Mobile"
"900","Sadly we were disappointed with this resturant, we expected more. The starter of beetroot and goats cheese salad was all beetroot and no cheese. We had to ask for more. The wine was over priced,  the toilets were tired and in need of a clean....More","Not Mobile"
"901","The food was more than average, the waiting time was a bit unreasonable, overall really poor experience considering it was Valentines Day. I wouldn’t recommend it","Not Mobile"
"902","After starter, waited almost an hour for main course.  Manager very apologetic and dealt with the matter in a very professional manner.  Food good.  Men’s urinals overflowing with urine so out of use and ladies toilets not flushing.","Not Mobile"
"903","Fatty chewy rump steak - have bought better steak from local supermarket.  Would expect much better from a steak restaurant.  Sides £5.25 each.  Steak does not come with anything other than a sauce! Would not recommend or visit again","Not Mobile"
"904","Nice restaurant, but noisy and busy even at 3 pm on a Friday afternoon. Staff mostly welcoming and attentive. This was a gift given to us via red letter days, paid £10 extra so that desert was included. Cocktail included but served rather unceremoniously in...More","Not Mobile"
"905","I was so excited to be going to this restaurant for my wife's birthday as I am a massive fan of well produced steak and an even bigger fan of Marco Pierre White. In truth we were really left underwhelmed which broke my heart as...More","Mobile"
"906","We enjoyed this restaurant as part of a Virgin experience package and we loved it, fantastic food and fantastic service I would really recommend this it makes you feel special","Not Mobile"
"907","Went as part of package with shard visit. Meal voucher was £49for 2xset meals. I chose duck salad. A good size duck leg, tender, but not much salad. Husband chose to pay supplement and have beef Wellington which was tasty but didn't have any thing...More","Not Mobile"
"908","A wonderful Christmas gift. The menu did not have much choice although the food was ok. Steak a bit tough. Not what you would expect from a top London Steakhouse.The drinks very very overpriced. Having to pay over £30 for two glasses of wine...More","Not Mobile"
"909","The food was really nice the soup of the day was so nice the steak was lovely but didn’t have all the puddings available the cocktail I had was very strong (SW3) the service was outstanding the Italian waitress was really good we really enjoyed...More","Not Mobile"
"910","Good choice available for the set menu, my partner upgraded to a fillet steak. I only eat chicken, and there was none on the menu, so I had a choice of 3 different risottos, and chose butternut squash. We both ordered a side, my partner...More","Not Mobile"
"911","Son bought and arranged voucher for a gift for us at Christmas. On arrival explained we had voucher for set meal from son. Was given ONE menu   I said what can we choose on menu with deal. Was told everything. Food was lovely and service...More","Not Mobile"
"912","So many tables crammed in to one space that there is only room for 1 person down the aisles.. We were seated right by the door so every time the door opened you got a cold blast of air...& Because its so busy, people were...More","Not Mobile"
"913","Son bought me a bus gift voucher for Father’s Day-and finally got to use it.Great food, great ambience, great staff-will definately return","Not Mobile"
"914","The charm and excellent service of the waiting staff far exceeded the somewhat sterile surroundings and the overly expensive 32 oz steak for 3 which forgot to advertise that it was around 10 percent bone. For £87 I expected more flavour and texTrue and the...More","Not Mobile"
"915","We were given a voucher for the meal, and went on a Wednesday lunchtime.  The choice was good, the cocktail was delicious and the food was lovely. We were very well looked after by friendly staff.  The only reason for not giving a full 5...More","Not Mobile"
"916","Great steak, decent wine and cocktails, smiling service and not rushed - ideal. We had a 5.45 table.","Not Mobile"
"917","Expected more from a company that had Marco Pierres name attached to it. We paid full price, probably okay if you get one of the deals, otherwise I would avoid. I apologised to my partner after as we both left deflated. Wrote to them direct...More","Not Mobile"
"918","Warm, friendly welcome. I loved that they recognised the notes I put on my reservation when booked. The waitress pointed out a non alcoholic cocktail I could have as I was pregnant and when dessert came out they wrote Happy Birthday in chocolate sauce on...More","Not Mobile"
"919","The staff and the service was impeccable. The food was on another level, absolutely amazing tastes and flavours. It all really worked. Will definitely be recommending this restaurant to my friends and family.","Not Mobile"
"920","A very good steak and the staff were excellent. You must pay for all including all side dishes. You must book as it is very popular. I went as part of a Virgin Experience package.","Not Mobile"
"921","Our treat as a Christmas present from the family. We had a really lovely meal and was looked after well. Food wonderful.","Not Mobile"
"922","This was a combined gift through Virgin gift experience, it felt like a meal factory and whilst pleasant enough the food was good not stunning and we wouldn't rush back.","Not Mobile"
"923","Have been before but to the other branch. We both ordered the ribeye for mains, but our steaks were really different, mine was clearly a different cut. It was a shame.  The staff were really attentive and polite, I will be back.  It was also...More","Not Mobile"
"924","The first time that I had visited this restaurant and I was most pleased to find it was an attractive, well planned room. The food proved to be just as good as I had expected and the service hit just the right point between attentive...More","Not Mobile"
"925","Went as part of an experience bought for a birthday present. Overall I was a bit disappointed which is a shame as it had the potential to be great. You could tell they wanted to churn through the people as at times it felt rushed....More","Mobile"
"926","We were given a smartbox voucher for this restaurant and booked combining it as a night away. The restaurant is purely geared for voucher bookings. Once they had claimed for your voucher everything else came with a supplement, even the fries with our steak. We...More","Not Mobile"
"927","We did a visit to the Shard with a meal included at the London Steakhouse, our meal was booked for 2:45 and arrived 15mins early , the welcome we got was great we were shown straight to our table and our waiter was wonderful, we...More","Not Mobile"
"928","Food was okay, but for the price I expected more. Nice setting and the staff were friendly and welcoming. Feel like bits were overpriced; like the £4.95 water that was pushed rather than explained or asked. In all honesty I don’t think I would come...More","Mobile"
"929","Delicious steaks experience! Everything is perfect incl. food and service except one of the desserts - rice pudding - is a bit out of expectation. Worth of tasting!","Not Mobile"
"930","We had a table booked to celebrate my partners birthday but unfortunately it was an awful experience.We just before our reservation at 8:30 to a busy entrance of lots of people waiting around. The guy told us our table was going to be about...More","Not Mobile"
"931","Lovely food and nice restaurant. Friendly staff. Pricey with lots of hidden extras,  for example if you would like a side with your steak (chips, onion rings etc.), that is extra. And felt a little conned when charged £5.95 for table water, which was pushed...More","Not Mobile"
"932","Friendly service. Super food..shame no beef Wellington though! Great value..booked using a Wowcher voucher. Easy parking. Memorable experience for the right reasons.","Not Mobile"
"933","We visited as a large business group. The service was very poor. I would have thought that in a steak restaurant it would be possible to have a steak cooked the way that you wanted it - but no... medium rare ONLY. The waitress said...More","Not Mobile"
"934","Lovely Sunday lunch, food very good, served quickly and very attentive staff. Will definitely be coming back.","Not Mobile"
"935","The food was amazing, Compliments to the chef. The lady who served us was very helpful and offered to change something I didn't like. Would certainly recommend going and will certainly be going back myself.","Not Mobile"
"936","Really looking forward to this virgin experience, arrived at 19:00, straight to the table, took 15 mins to get are order taken. Another 15 for the drinks to come. First course came and went. 45 mins later we got are steaks. Also they had run...More","Not Mobile"
"937","I visited here with friends for dinner on Friday night and had high hopes but left feeling very disappointed. The price point of this restaurant is such that you should be able to expect a certain level of service, product etc. Even though they weren’t...More","Mobile"
"938","RIP off Said virgin experience not available would knock £49 of bill. It was £180 for three courses I’ve had better steak from Asda most people in there on virgin experience most flabbergasted at there bill many complaints.  A virgin experience I won’t forgets","Not Mobile"
"939","My wonderful, long suffering partner booked us a Virgin Experience for The Shard and a “3 course meal” at Marco Pierre’s London Steakhouse in the East End. When we arrived at the steakhouse we had a warm welcome and were promptly shown to our table....More","Mobile"
"940","Whilst we are both foodies, this was or first visit due to a xmas present. service is excellent and food very good surroundings very good","Not Mobile"
"941","This place was big up more than it was. Slow kitchen, bad value for money. Had better steak and chips at a country pub near home. Totally not made out as good as it is","Not Mobile"
"942","We received voucher gift  to the London Steakhouse for 3 course meal only to find out that the free meal menu was limited and most options had additional supplement, we ended up paying more than double of the voucher value for a meal and a...More","Not Mobile"
"943","Wasn’t happy with the meal over priced. Staff service was very poor. Waiting too long for drinks would go there again. I wouldn’t recommend this to anyone","Not Mobile"
"944","We came to this restaurant as a gift from the virgin day experiences it was excellent the staff were very welcoming and friendly and the service was excellent. The meal was fantastic and even though we had to pay extra for the sides they were...More","Not Mobile"
"945","Visited the restaurant as part of a groupon voucher which included a thames river cruise. Was placed on a waiting list well in advance of date booked, however the only table we could get was at 9:15pm, which led to a three hour gap between...More","Not Mobile"
"946","Lovely restaurant. Staff really friendly and welcoming. Quick service but weren’t rushed. We had the set menu and the food delicious, only small complaint was my husbands rump steak was chewy, wish he’d ordered something else as my beef bourguignonne was perfect and everything else...More","Not Mobile"
"947","The Romanian waitress that needs her roots doing thought it was acceptable to ask my partner personal questions about our relationship when I went to the toilet, she wanted to know if we were serious about each other, totally ruined our valentines meal.","Not Mobile"
"948","We had been given a voucher for this so tied it in with a show. We recieved a warm welcome on arrival and shown to our table. It was a nice surprise to be offered a cocktail as part of the package, we both had...More","Not Mobile"
"949","I bought a virgin experience to view London from the Shard, and then have a meal at this restaurant. The advert was written to give the impression that you did the both at the Shard. When in fact the restaurant is some two changes on...More","Not Mobile"
"950","Even though we had a reservation for 8.30pm we were not seated until a further 40 minutes later during which time we had to wait 15 minutes before being asked for a drink to which we had to wait a further 15 minutes before getting...More","Not Mobile"
"951","Food OK checking in chaotic not enough room for the numbers when we arrived, unable to take coat until you are seated. There were people queuing past our table waiting to check in!!Service was not good my main was served and removed whilst the...More","Not Mobile"
"952","Our reservation was delayed by 45 mins so we were just sitting around waiting. The wait staff is forgetful and really slow. Our request for another drink was completely ignored. Service is terrible.","Not Mobile"
"953","Very good service only issue is restricted set menu. I came 2 years ago and menu has not changed.No vegetarian option which is surprising as all members of party should be able to dine in same restaurant","Not Mobile"
"954","Food was amazing, had food envy for every dish that went past, it all looked so good.We will definitely be going back to try the","Not Mobile"
"955","Our special lunch was part of a Virgin Experience Day Package and our expectations were more than surpassed. Quality was the keyword in every respect both for food and service. Thank you.","Not Mobile"
"956","Table was delayed 30 mins then ignored at the bar, forgot 1 of our portions of fries & bought them out when we had finished, moved us halfway through our meal & our waiter was quite rude & abrupt.","Not Mobile"
"957","The staff were lovely and the atmosphere made the evening feel that bit more special. The food was amazing, it was Such a lovely experience!","Not Mobile"
"958","Extremely disappointing visit in January. Food was bland, onion rings very oily dripping in grease and puddings were both dry. Service was slow and were rude when responding to feedback.","Mobile"
"959","We came for our anniversary meal and were not disappointed. We were given a lastminute.com voucher for ‘24 oz steak and unlimited fries plus two cocktails.’ Steak was lovely, fries nice and overall atmosphere was great. Can’t fault our waitress, she was so kind and...More","Not Mobile"
"960","I bought the virgin experience voucher for my husband for Christmas and we used it last night. We were slightly early so tried to have a drink at the bar which took ages. As we'd had a major issue with a previous booking mix up...More","Not Mobile"
"961","So i had a buyagift voucher for the steak house as a present for my 50thMy husband and I went tonight....Beetroot and goats cheese starter... no goats cheese had to ask for more. The wine was over priced for a mediocre wine and...More","Not Mobile"
"962","My mum and I went to this steakhouse as part of a Virgin experience voucher. Our table wasn’t quite ready and we were asked to wait in the bar area and have a drink. We would have done that if the bar staff didn’t completely...More","Not Mobile"
"963","hi i haven't yet been but after reading all these reviews I'm actually not looking forward to going here at all, but they seem to have it set up in there favour as i have a groupon voucher for the shard and the meal, I've...More","Not Mobile"
"964","Food was great waited a while for our mains, but manager was apologetic and gave us a free cocktail and coffee. Did not spoil our time or meal.","Not Mobile"
"965","Food and service are fantastic. Lovely staff. On the down side decor a bit tired but great atmosphere. Wine list extensive but very expensive","Mobile"
"966","A very pleasant visit to this London restaurant located in the City.  Good food, a very nice ambience and the service was very efficient and attentive.  The speciality of the house, rump steak, was delicious and perfectly cooked.  So good to have an acoustic that...More","Not Mobile"
"967","The place was standard. I would say OK. The meat was delicious. the starters and deserts were standard. The service was good, but they left out the lime cordial in the soda and cordial drink I asked for. Also one of my orders was completely...More","Not Mobile"
"968","Qmazing. Most succulent steak ever eaten (from farmers thats a big plus!) Staff were attentive without being instrusive.  We added our soon to be 8 yr old son on to the booking and there was plenty for him to choose from on the very grown...More","Not Mobile"
"969","Due to us getting a little wet and lost getting there, we were a little late, but everyone was lovely and waited until we had been to the cloakroom.  The meal was great and I even had to ask for the sweet recipe which they...More","Not Mobile"
"970","We visited the London Steakhouse Co. on Saturday, we enjoyed our starter and main course and I chose Pecan pie for dessert, when it arrived I found it hard to cut into, it felt like it has been microwaved for too long and had begun...More","Not Mobile"
"971","I informed the restaurant of my food allergies. Wheat/gluten,lactose and nuts. On arrival the waiter was aware of this but when I selected my starter and main he went to the chef and returned stating that I only had 1 option. When it came to...More","Not Mobile"
"972","Restaurant ok,food not a lot different from other good steak houses.Felt we were rushed,the minute you finished the plate was whipped away and your desert served up within a minute later.Are there better steakhouses out there ...Yes","Not Mobile"
"973","We had a meal included with our shard experience purchased by friends via virgin. The meal included a cocktail & 3 courses. Choice of approx 4 starters, 4 main courses and similar puddings included with your meal. You have to pay extra for any other...More","Not Mobile"
"974","We visited the London Steakhouse for lunch to celebrate my birthday.  We had the set menu as part of a Virgin experience and it was delicious.  The service was faultless and the birthday decoration on my dessert was the perfect end to a great meal","Mobile"
"975","The whole meal was delicious and the staff were happy and polite and helpful. The only issue that occurred, after ordering the chateaubriand which was not a cheap meal and being told it came with new potatoes. They forgot to do the potatoes and we...More","Not Mobile"
"976","We attended this lovely restaurant as part of an experience with a visit to The Shard after a pleasant walk along the river.Food was very good quality along with the service.Good choices of food and we were aware of the extra payments required...More","Not Mobile"
"977","Excellent meal, very well prepared. Ambience spoilt by very loud customer on adjacent table. Certainly not a problem with this restuarant.","Not Mobile"
"978","My partner and I visited London Steakhouse Co. as a gift voucher from my parents. We arrived a bit earlier than our reservation so were happy to wait and grab a drink at the bar. The host asked us to do exactly that, but not...More","Mobile"
"979","Enjoyed the meal although disappointed that it wasn't anything special.  Had better quality in different restaurants","Not Mobile"
"980","I had a jacket potato and it was lovely with some peach ice tea and they were both scrumptious. The jacket potato had bacon and stringy cheese with some butter.","Not Mobile"
"981","We were treated with care attention and humour. What more can you ask for?The food was delicious and served promptly. Cyrile the waiter was funny and even took a selfie with us after doing us the honour of taking photos of & for us","Not Mobile"
"982","With high expectations for the ‘Michelin star’ Marco Pierre Whites famous London Steakhouse we were remarkably disappointed with the experience. With a very limited choice 3 course menu we were happy to have as it was the package we had booked (we thought). To start,...More","Not Mobile"
